"","PlotID","EstablishDate","GPSCoordSys","Datum","Zone","Easting","Northing","Longitude","Latitude","Elevation","AvgPrecip","EcolSite","EcolSiteNum","Soil","MapUnitComponent","Slope","Aspect","ESD_SlopeShape","LandscapeType","LandscapeTypeSecondary","RecentWeatherPast12","RecentWeatherPrevious12","DisturbWildfire","DisturbRodents","DisturbMammals","WildlifeUse","MgtHistory","OffsiteInfluences","Comments"
"21","ST5",2017-07-13,"UTM","WGS84",11,711679.4,4809060.89,-114.385808238134,43.4045540264872,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"22","ST6",2017-07-13,"UTM","WGS84",11,713196.95,4808375.52,-114.367353354164,43.3979593712021,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"23","ST8",2017-07-13,"UTM","WGS84",11,709289.14,4809716.72,-114.415046684606,43.4111241472485,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"24","UPC2",2017-07-14,"UTM","WGS84",11,706669.82,4806359.69,-114.448634586508,43.3816523874611,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"25","UPC3",2017-08-03,"UTM","WGS84",11,708593.77,4807185.8,-114.424591854714,43.3885514010585,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"26","UPC4",2017-07-13,"UTM","WGS84",11,707492,480845,-115.13030610555,4.34794909867261,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"27","SE1",2017-07-24,"UTM","WGS84",11,712702.9,4803066.67,-114.375509360007,43.3503463397912,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"28","MPC1",2017-07-25,"UTM","WGS84",11,708960.91,4805139.29,-114.420844408431,43.3700401934226,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"29","MPC3",2017-07-29,"UTM","WGS84",11,707699.17,4804845.03,-114.436513964963,43.3677432103027,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"30","MPC4",2017-07-25,"UTM","WGS84",11,706215.06,4805427.6,-114.454594191014,43.3733927515855,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"31","Clayey 043",2018-07-13,"Decimal Degrees","WGS84",NA,0,0,0,0,1494,314,"R010AY001ID",1,88,"Peevywell",4,60,"LL","Flat Plain","","Drought","Normal",0,0,0,NA,NA,NA,NA
"32","Clayey 044",2018-08-03,"Decimal Degrees","WGS84",NA,0,0,0,0,1677,397,"R010AY0041D",4,88,"Simonton",14,120,"CC","Hills/Mountains*","Backslope","Drought","Normal",0,0,0,NA,NA,NA,NA
"33","Clayey 045",2018-06-08,"Decimal Degrees","WGS84",NA,0,0,0,0,1527,339,"R010AY0041D",4,88,"Simonton",5,131,"LC","Hills/Mountains*","Backslope","Drought","Normal",0,0,1,"elk and grsg sign present","cattle in pasture at time of monitoring",NA,NA
"34","Clayey 046",2018-06-28,"Decimal Degrees","WGS84",NA,-114.38307,43.35722,-114.38307,43.35722,1493,323,"R010AY001ID",1,88,"Peevywell",15,209,"VC","Terrace**","Tread","Drought","Normal",0,0,0,NA,NA,"Riparian area/drainage 50 meters west of plot center",NA
"35","Clayey 047",2018-06-28,"Decimal Degrees","WGS84",NA,-114.37606,43.34432,-114.37606,43.34432,1486,314,"R010AY0041D",4,88,"Simonton",12,198,NA,"Hills/Mountains*","Backslope","Drought","Normal",0,0,0,NA,NA,NA,NA
"36","Clayey 048",2018-07-31,"Decimal Degrees","WGS84",NA,0,0,0,0,1639,387,"R010AY0041D",4,88,"Simonton",11,305,"VV","Hills/Mountains*","Shoulder","Drought","Normal",0,0,0,NA,NA,NA,NA
"37","Clayey 049",2018-08-01,"Decimal Degrees","WGS84",NA,0,0,0,0,1592,350,"R010AY0041D",4,104,"Bauscher",3,100,"VL","Hills/Mountains*","Summit","Drought","Normal",0,0,0,NA,NA,NA,NA
"38","Clayey 050",2018-06-28,"Decimal Degrees","WGS84",NA,0,0,0,0,1568,338,"R010AY001ID",1,88,"Peevywell",13,120,"VC","Hills/Mountains*","Summit","Drought","Normal",0,0,1,"elk sign present",NA,"2 track 50 meters SW pf plot center",NA
"39","Loamy 001",2018-07-13,"Decimal Degrees","WGS84",NA,0,0,0,0,1494,314,"R010AY0041D",4,81,"Bauscher",5,31,"LL","Flat Plain","","Drought","Normal",0,0,0,NA,NA,"HWY 20 ~100 meters south of plot center",NA
"40","Loamy 002",2018-07-12,"Decimal Degrees","WGS84",NA,0,0,0,0,1783,423,"R010AY0041D",4,36,"Elkcreek",24,120,"LV","Hills/Mountains*","Backslope","Drought","Normal",0,0,0,NA,NA,"two track and dried up water tank ~ 200 meteresfr om plot",NA
"41","Loamy 003",2018-06-20,"Decimal Degrees","WGS84",NA,0,0,0,0,1579,339,"R010AY0041D",4,36,"Elkcreek",7,108,NA,NA,NA,"Drought","Normal",0,0,1,"Signs of grazing",NA,"powerline 200m from plot","Disturbed bare groun patch ~10m in diameter. Old camping ares?"
"42","Loamy 004",2018-06-20,"Decimal Degrees","WGS84",NA,-114.40052,43.36871,-114.40052,43.36871,1560,340,"R010AY008ID",8,111,"Winu",40,9,"LC","Hills/Mountains*","Backslope","Drought","Normal",0,0,0,NA,NA,NA,NA
"43","Loamy 005",2018-07-12,"Decimal Degrees","WGS84",NA,0,0,0,0,1807,425,"R010AY0041D",4,58,"Laurentzen",7,162,"LC","Hills/Mountains*","Backslope","Drought","Normal",0,0,0,"GRSG sign",NA,"Fenceline and two track 50 meters south of plot center",NA
"44","Loamy 006",2018-07-12,"Decimal Degrees","WGS84",NA,0,0,0,0,1640,367,"R010AY0041D",4,58,"Mulshoe",12,143,"LL","Hills/Mountains*","Backslope","Drought","Normal",0,0,0,NA,NA,NA,NA
"45","Loamy 007",2018-06-21,"Decimal Degrees","WGS84",NA,0,0,0,0,1684,390,"R010AY0041D",4,58,"Mulshoe",10,178,"LC","Hills/Mountains*","Backslope","Drought","Normal",0,0,1,"Elk sign present. Livestock in pasture.",NA,NA,NA
"46","Loamy 008",2018-06-20,"Decimal Degrees","WGS84",NA,0,0,0,0,1622,357,"R010AY0041D",4,36,"Elkcreek",7,218,"LL","Hills/Mountains*","Backslope","Drought","Normal",0,0,0,NA,NA,"powerline road 200 meters from plots",NA
"47","NS Loamy 127",2018-06-12,"Decimal Degrees","WGS84",NA,0,0,0,0,1719,410,"R010AY008ID",8,95,"Povey",12,55,"VC","Hills/Mountains*","Backslope","Drought","Normal",0,0,0,NA,NA,NA,NA
"48","NS Loamy 128",2018-08-02,"Decimal Degrees","WGS84",NA,0,0,0,0,1666,382,"R010AY008ID",8,34,"Earcee",13,30,"VV","Hills/Mountains*","Summit","Drought","Normal",0,0,0,NA,NA,NA,NA
"49","NS Loamy 129",2018-06-28,"Decimal Degrees","WGS84",NA,0,0,0,0,1679,378,"R010AY008ID",8,34,"Earcee",18,315,NA,NA,NA,"Drought","Normal",0,0,0,NA,NA,NA,NA
"50","NS Loamy 130",2018-08-02,"Decimal Degrees","WGS84",NA,0,0,0,0,1617,373,"R010AY008ID",8,111,"Winu",27,220,"LL","Hills/Mountains*","Backslope","Drought","Normal",0,1,1,"Elk sign abundant. Many small rodent holes. Badger den on plot. Bald eagle and nest 100m east of plot center.","No cattle sign.","Ephemeral rocky drainage on end of line 3",NA
"51","NS Loamy 131",2018-06-12,"Decimal Degrees","WGS84",NA,0,0,0,0,1904,436,"R010AY009ID",9,95,"Vitale",49,146,"VL","Hills/Mountains*","Shoulder","Drought","Normal",0,0,1,"Elk and Greater Sagerouse sign present.
Female Grouse and 2 fledgeling spotted 100 east of plot.",NA,NA,NA
"52","NS Loamy 132",2018-08-10,"Decimal Degrees","WGS84",NA,0,0,0,0,1740,454,"R010AY009ID",9,108,"Vitale",14,200,"VV","Hills/Mountains*","Summit","Drought","Normal",0,0,0,NA,NA,NA,NA
"53","NS Loamy 133",2018-06-29,"Decimal Degrees","WGS84",NA,0,0,0,0,1651,373,"R010AY008ID",8,111,"Winu",13,29,NA,NA,NA,"Drought","Normal",0,0,0,NA,NA,NA,NA
"54","NS Loamy 159",2018-07-30,"Decimal Degrees","WGS84",NA,0,0,0,0,1547,330,"R010AY008ID",8,111,"Winu",39,30,"LL","Hills/Mountains*","Backslope","Drought","Normal",0,0,0,"4 GRSG seen on plot. Elk/deer sign present","signs of cattle loafing",NA,NA
"55","Rouge 1",2018-06-30,"Decimal Degrees","WGS84",NA,0,0,0,0,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"56","SS Gravelly 085",2018-06-11,"Decimal Degrees","WGS84",NA,0,0,0,0,1818,465,"R010AY009ID",9,82,"Moonstone",33,240,"CV","Hills/Mountains*","Backslope","Drought","Normal",0,1,1,"Elk sign",NA,"twotrack within 100m","spotted knapweedand cheatgrass present"
"57","SS Gravelly 086",2018-07-11,"Decimal Degrees","WGS84",NA,0,0,0,0,1687,415,"R010AY009ID",9,109,"Vitale",8,206,"LV","Terrace**","Tread","Drought","Normal",0,0,0,NA,NA,NA,"Many ant hills"
"58","SS Gravelly 087",2018-06-28,"Decimal Degrees","WGS84",NA,0,0,0,0,1643,370,"R010AY008ID",8,82,"Earcee",25,9,"VV","Hills/Mountains*","Shoulder","Drought","Normal",0,0,0,NA,NA,NA,NA
"59","SS Gravelly 088",2018-06-28,"Decimal Degrees","WGS84",NA,0,0,0,0,1830,410,"R010AY009ID",9,35,"Elkcreek",13,211,"LC","Hills/Mountains*","Shoulder","Drought","Normal",0,0,0,"Elk and deer sign present",NA,NA,NA
"60","SS Gravelly 089",2018-06-11,"Decimal Degrees","WGS84",NA,0,0,0,0,1659,419,"R010AY0041D",4,88,"Simonton",7,300,"LC","Floodplain/Flood basin","","Drought","Normal",0,1,0,"rabbit sign. Old cattle pies common",NA,"ephemeral/dry drainage run through plot. 2 track 60 meters from plot center","Evidence of past fire"
"61","SS Gravelly 090",2018-07-31,"Decimal Degrees","WGS84",NA,0,0,0,0,1730,387,"R010AY008ID",8,109,"Povey",16,60,"LV","Hills/Mountains*","Backslope","Drought","Normal",0,0,0,NA,NA,NA,NA
"62","SS Gravelly 091",2018-06-28,"Decimal Degrees","WGS84",NA,0,0,0,0,1616,369,"R010AY009ID",9,82,"Moonstone",10,172,"LC","Hills/Mountains*","Backslope","Drought","Normal",0,0,0,NA,NA,NA,NA
"63","SS Gravelly 092",2018-06-21,"Decimal Degrees","WGS84",NA,0,0,0,0,1671,365,"R010AY009ID",9,35,"Elkcreek",7,166,"VL","Hills/Mountains*","Summit","Drought","Normal",0,0,0,NA,NA,NA,NA
"64","009",2019-10-21,"Decimal Degrees","WGS84",NA,0,0,0,0,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"65","010",2019-10-21,"Decimal Degrees","WGS84",NA,0,0,0,0,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"66","011",2019-10-23,"Decimal Degrees","WGS84",NA,0,0,0,0,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"67","012",2019-10-21,"Decimal Degrees","WGS84",NA,0,0,0,0,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"68","013",2019-10-21,"Decimal Degrees","WGS84",NA,0,0,0,0,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"69","014",2019-10-21,"Decimal Degrees","WGS84",NA,0,0,0,0,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"70","015",2019-11-11,"Decimal Degrees","WGS84",NA,0,0,0,0,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"71","016",2019-11-11,"Decimal Degrees","WGS84",NA,0,0,0,0,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"72","051",2019-11-11,"Decimal Degrees","WGS84",NA,0,0,0,0,0,0," UNKNOWN",NA,NA,NA,27,240,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"73","052",2019-10-21,"Decimal Degrees","WGS84",NA,0,0,0,0,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"74","053",2019-10-21,"Decimal Degrees","WGS84",NA,0,0,0,0,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"75","054",2019-11-12,"Decimal Degrees","WGS84",NA,0,0,0,0,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"76","055",2019-11-13,"Decimal Degrees","WGS84",NA,0,0,0,0,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"77","056",2019-11-13,"Decimal Degrees","WGS84",NA,0,0,0,0,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"78","057",2019-11-15,"Decimal Degrees","WGS84",NA,0,0,0,0,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"79","058",2019-11-18,"Decimal Degrees","WGS84",NA,0,0,0,0,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"80","093",2019-11-18,"Decimal Degrees","WGS84",NA,0,0,0,0,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"81","094",2019-10-21,"Decimal Degrees","WGS84",NA,0,0,0,0,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"82","095",2019-10-21,"Decimal Degrees","WGS84",NA,0,0,0,0,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"83","096",2019-11-19,"Decimal Degrees","WGS84",NA,0,0,0,0,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"84","097",2019-11-20,"Decimal Degrees","WGS84",NA,0,0,0,0,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"85","098",2019-11-22,"Decimal Degrees","WGS84",NA,0,NA,0,NA,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"86","099",2019-11-26,"Decimal Degrees","WGS84",NA,0,0,0,0,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"87","100",2019-11-27,"Decimal Degrees","WGS84",NA,0,0,0,0,0,0," UNKNOWN",NA,NA,NA,15,180,"VL",NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"88","136",2019-11-27,"Decimal Degrees","WGS84",NA,0,0,0,0,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"89","138",2019-10-21,"Decimal Degrees","WGS84",NA,0,0,0,0,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"90","139",2019-11-27,"Decimal Degrees","WGS84",NA,0,0,0,0,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"91","141",2019-10-21,"Decimal Degrees","WGS84",NA,0,0,0,0,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"92","142",2019-10-21,"Decimal Degrees","WGS84",NA,0,0,0,0,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
